,Supply Chain Edge Attributes,
Sr,Attribute/Feature,Description
1,Link distance,Distance between two nodes (typically by road)
2,Transportation Type,"Mode of transport (e.g., Road, Air)"
3,Lead Time,Time to deliver the shipment from one node to another
4,Product(s),List of products (SKUs) that are being transported
5,Maximum Load Capacity,Maximum quantity that can be shipped
6,Minimum Shipment Quantity,Minimum quantity required to start a shipment
7,Transportation cost,Cost to transport goods from one node to another in the SC
8,Fleet Composition,Type and number of vehicles assigned to the link
9,Carbon Cost,Cost associated with carbon emissions from transport on this link
10,Probability of Link Failure,"Probability of this link being unavailable due to natural disasters, road maintenance, or road blocks (e.g., rallies)"
11,Disruption Duration,Time for which the link remains unavailable after a disruption
12,Recovery Duration,Time taken by the link to resume service after a disruption
13,Disruption Cost,"Cost incurred per disruption on this link, including the cost of recovery"
,,
,Supply Chain Edge Performance Measures,
Sr,Performance Measure,Description
1,Material Flow,Quantity of product units transported over the link in a given time period
2,CO2 cost,Cost associated with carbon emissions from transportation
3,Link utilization,"Utilization rate of the transportation link (e.g., % usage vs. capacity)"
4,Total Shipments,Number of shipments sent or received over the link
5,Edge resilience,Resilience depends on the reliability of the edge and connected nodes
6,Edge criticality,Refers to the importance of the edge
